company,name,sha1,description,clearance,vendor_reputation,cve_history,incidents,datahandling_and_compliance,trust_score,confidence_rating,alternatives
Slack Technologies Inc.,Slack,abc123,"Enterprise messaging platform with strong compliance posture",true,"Well-established SaaS vendor with solid trust programs","Low–moderate CVE activity, mostly medium severity","No major recent breaches","SOC2 Type II, ISO 27001, GDPR-aligned DPA","82","90","Microsoft Teams; Google Chat"
Igor Pavlov,7-Zip,def456,"Lightweight open-source file archiver",true,"Good reputation; widely trusted in infosec","Very few CVEs; mostly older and patched","No major security incidents","Insufficient public evidence","78","70","PeaZip; WinRAR"
AnyDesk Software GmbH,AnyDesk,ghi789,"Remote desktop tool with fast global adoption",false,"Mixed reputation due to abuse reports","Several CVEs including high-severity ones","Used frequently in social engineering attacks","GDPR statement available; limited public compliance evidence","45","60","TeamViewer; Chrome Remote Desktop"
IDRIX,VeraCrypt,jkl012,"Open-source disk encryption tool",true,"Strong security reputation in privacy communities","Minimal CVE activity; slow but stable updates","No major incidents reported","Open-source; independent audits historically conducted","85","75","BitLocker; Cryptomator"
Piriform Software Ltd.,CCleaner,mno345,"System cleaning utility with a controversial past",false,"Mixed reputation after past supply chain compromise","Moderate CVE history; some impacting installer","2017 supply chain attack documented","Limited transparency; unclear data practices","40","55","BleachBit; Wise Disk Cleaner"
Foxit Software Inc.,Foxit Reader,pqr678,"PDF reader with enterprise features",true,"Strong enterprise vendor","Several CVEs yearly; patches released quickly","No major incidents recently","ISO 27001 claims; GDPR-compliant processes","72","65","Adobe Acrobat Reader; SumatraPDF"
Discord Inc.,Discord,stu901,"Chat/voice platform popular with gamers",false,"Good overall reputation but large attack surface","Medium CVE volume; mostly client-side","Frequent abuse reports (malware distribution)","Privacy policy outlines handling, no SOC2 publicly","55","60","Slack; Microsoft Teams"
Postman Inc.,Postman,vwx234,"API development and testing platform",true,"Strong developer-focused vendor","Low CVE volume","No significant breaches known","SOC2 Type II; strong security program","88","85","Insomnia; Hoppscotch"
Dropbox Inc.,Dropbox,yza567,"Cloud storage and collaboration service",true,"Long-established vendor with strong controls","Consistent CVE flow but patched quickly","No major incidents since 2016","SOC2, ISO 27001, GDPR, HIPAA","91","92","Google Drive; OneDrive"
Audacity Team,Audacity,bcd890,"Audio editor, open-source",true,"Generally trusted OSS project","Minimal CVE history","No major security issues","Open-source; privacy improved after controversy","70","60","Ocenaudio; Ardour"
RARLAB,WinRAR,cde123,"File archiver with commercial licensing",true,"Generally trusted vendor","Moderate CVEs including notable path traversal issues","No major breach history","Closed-source; limited transparency","68","55","7-Zip; PeaZip"
TeamViewer GmbH,TeamViewer,efg456,"Remote support and access tool",false,"Mixed reputation due to credential-stuffing attack waves","Low CVE volume but high-risk remote-control surface","Historical credential misuse incidents","GDPR commitments; enterprise features","58","70","AnyDesk; Chrome Remote Desktop"
